,title,tag,location,description,img,image_count,pid,url
0,애플워치5 40mm 스그 풀박스,"애플워치5,애플워치se,애플워치,애플워치540,애플워치544mm스테인리스",대구광역시 중구 동인동,"애플워치5 40mm 스그 입니다
풀박스이고 정품 스트랩 상태 그대로 있습니다
바로 필름 붙여서 필름 때면 액정에 기스 없어요
정품스트랩 빼고 세개 더 있습니다
생각보다 많이 안 쓰게 되서 판매해요

택배이용시 +4000",https://media.bunjang.co.kr/product/170649001_{cnt}_1637580168_w{res}.jpg,9,170649001,https://m.bunjang.co.kr/products/170649001
1,애플워치 스테인리스 1세대 38미리 팝니다,"애플워치,애플워치스테인리스,38mm",서울특별시 구로구 오류제2동,"애플워치 1세대 38미리 스테인리스(스댕) 팝니다!

일반 알류미늄보다 신품가가 2배정도 높은 걸로 알고 있습니다 스테인리스여서 고급집니다

구성품은 스트랩은 실버 스트랩 하고 충전기 입니다.

전화 문자 월렛 심박수 등 등 기능 작동 잘해요~

스테인리스 특징상 기스 좀 있어요

배터리 하루조금 넘게 갑니다


찔러보기,생각해보겠습니다,무리한 요구 절대 사절 입니다.


직거래 서울 구로 택배시+2500 쿨거래시 판매자 부담",https://media.bunjang.co.kr/product/169939408_{cnt}_1636935875_w{res}.jpg,2,169939408,https://m.bunjang.co.kr/products/169939408
2,"갤럭시워치4 40, 42, 44, 46 모든색상 미개봉 팝니다.","갤럭시워치,갤럭시워치4",대구광역시 달서구 감삼동,"갤럭시워치4 40, 42, 44, 46 전색상 블루투스 모델 판매 중입니다🎁

40mm - 블랙, 실버, 핑크 - 225,000원

42mm(클래식) - 실버, 블랙 - 305,000원

44mm - 블랙, 그린, 실버 - 255,000원

46mm(클래식) - 블랙, 실버 - 335,000원

직거래 대구 죽전네거리 전자랜드 앞 입니다
택배거래, 번개페이 가능하며 무료배송 입니다.😊
전상품 미개봉이며 
네고는 어렵습니다.
편하게 연락 주세요😊",https://media.bunjang.co.kr/product/168263937_{cnt}_1637323969_w{res}.jpg,1,168263937,https://m.bunjang.co.kr/products/168263937
3,갤럭시워치4 44mm,갤럭시워치4,부산광역시 남구 대연제5동,"워치4 44mm + 충전거치대
구매하고 네번정도 착용 했는데  애플로 갈아타서 팝니다.
하자 없이 깨끗한 상품이에요!",https://media.bunjang.co.kr/product/170709784_{cnt}_1637581819_w{res}.jpg,1,170709784,https://m.bunjang.co.kr/products/170709784
4,갤럭시핏,갤럭시핏,,"기스없이 깨끗한 제품입니다
시계줄은 사용감이있어 바꾸시면될꺼같습니다

gs반값택배시 무료배송
일반택배시+3000원",https://media.bunjang.co.kr/product/170398349_{cnt}_1637366013_w{res}.jpg,2,170398349,https://m.bunjang.co.kr/products/170398349
5,애플워치se 스그 나이키 40mm Gps ,"애플워치,애플워치se,애플워치스트랩,애플워치se40",,"깨끗하지만 아~주 미세한 생활 흔적이 있을 수 있어요 
눈에 띄는 건 전혀 없어요 
실착 10번 미만 스트랩 총3개 드려요 
(개인적으로 구매한 가죽 스트랩 포함이에요) 
충전기까지 풀박으로 있어요 !!  
배송은 당일 아니면 다음 날 바로 보내드려요 
번개페이 가능해용 
배터리 성능 100 이에여 ",https://media.bunjang.co.kr/product/170110051_{cnt}_1637581795_w{res}.jpg,6,170110051,https://m.bunjang.co.kr/products/170110051
6,애플워치 SERI6 40mm S급 ( 미사용 ),"애플워치,6세대,seri6",경기도 수원시 팔달구 화서1동,"애플워치 SERI6 40Mm 
색상 : 레드 - 블루 - 그레이 - 화이트 
가격 : 39만원

안전거래 하시거나 직거래 가능합니다",https://media.bunjang.co.kr/product/170709727_{cnt}_1637581783_w{res}.jpg,1,170709727,https://m.bunjang.co.kr/products/170709727
7,애플워치 스트랩 밴드 가죽 종류 싱글투어 등 4종 컬러다양 새상품,"싱글투어,애플워치싱글투어,애플워치가죽스트랩,애플워치슬림가죽,애플워치모던가죽",서울특별시 서초구 양재2동,"애플워치 가죽 스트랩 새상품

스트랩 전문 쇼핑몰과 동일 퀄리티(중간 유통과정 없애고 최저가 판매) 👍
천연 소가죽 재질
애플워치 1 2 3 4 5 6 SE 7 전 시리즈 다 호환되는 상품입니다.
판매자 다른 상품 보시면 좋은 상품 좋은 가격에 판매 중입니다.

싱글투어 스트랩 사이즈- 38/40/41mm, 42/44/45mm

색상- 에토프, 초콜릿, 브라운, 블랙, 블랙화이트스티치

슬림 싱글투어 스트랩 사이즈- 38/40/41mm(슬림하게 뚝 떨어져서 여자분들에게 강추)

색상- 네이비, 다크그린, 오렌지, 브라운, 에토프, 화이트

슬림 가죽 스트랩 사이즈- 38/40/41mm(자연스럽게 슬림하게 떨어집니다. 세련된 느낌 원하는 분들)

색상- 블랙, 브라운, 에토프, 아이보리

모던 가죽 스트랩 사이즈- 38/40/41mm(여성분들 only!)

색상- 도브그레이, 라이트블루, 민트, 화이트, 베이지, 핑크, 와인(사진에 없는 색은 원하시면 번톡으로 보내드려요.)

결제방법- 계좌이체 혹은 번개페이

직거래- 양재동
택배거래- cj택배 2800(원하시는 경우 gs편의점 반값택배 가능)

*주문이나 질문은 채팅으로 해주세요.♥️
*확인하는대로 바로 답변드려요.⚡
*판매자상점에 확인하시면 다양한 상품 있습니다.
",https://media.bunjang.co.kr/product/169728962_{cnt}_1636717263_w{res}.jpg,12,169728962,https://m.bunjang.co.kr/products/169728962
8,갤럭시 액티브2 40mm 알루미늄,"스마트워치,액티브2,갤럭시워치,갤럭시액티브2,갤럭시워치액티브2",경기도 남양주시 호평동,"알루미늄 40mm 와이파이 모델 이구요
애플 유저라 얼마 안 쓰고 애플워치 사면서 
보관 하다가 판매해요
충전기 선을 모르고 팍 당기다가 전선이 노출 되어ㅜㅜ 전기테잎 감아놨어용 충전은 잘 됩니다
현재 액정필름 붙여져있고 사용했던 케이스 같이 드리고 여분 필름 하나 더 드려요
직거래는 이쪽으로 와주셔야해용",https://media.bunjang.co.kr/product/170709328_{cnt}_1637581578_w{res}.jpg,5,170709328,https://m.bunjang.co.kr/products/170709328
9,애플워치40mm스트랩,"애플워치,아띠즈,애플워치40mm,워치스트랩",경기도 성남시 중원구 성남동,"애플워치40mm스트랩
아띠즈 스트랩 새상품 로즈골드",https://media.bunjang.co.kr/product/157862826_{cnt}_1624896023_w{res}.jpg,2,157862826,https://m.bunjang.co.kr/products/157862826
10,갤럭시워치4 pxg 골프에디션 44미리,"pxg,워치4,44mm,44미리,골프",부산광역시 북구 만덕제3동,새제품 44미리,https://media.bunjang.co.kr/product/170484424_{cnt}_1637393483_w{res}.jpg,2,170484424,https://m.bunjang.co.kr/products/170484424
11,애플워치 스트랩 밴드 스포츠밴드 실리콘밴드(슬림포함) 18종 우주 최저가,"애플워치스트랩,애플워치줄질,애플워치줄,애플워치밴드,애플워치스포츠밴드",서울특별시 서초구 양재2동,"애플워치 스포츠밴드(실리콘) 새상품 우주최저가!!!

스트랩전문 쇼핑몰과 동일제품입니다. 퀄리티 👍 
중간 과정 없이 저렴하게 판매합니다. 가성비 👍 
애플워치 1 2 3 4 5 6 7 SE 전 시리즈 다 호환되는 상품입니다.
판매자 다른 상품 보시면 좋은 상품 좋은 가격에 판매 중입니다.

사이즈- 38/40/41mm 42/44/45mm

색상- 18종 사진에 색상 나와있어요.

슬림 스포츠밴드는 38/40mm 만 있습니다.(슬림은 3500원입니다.)

색상- 14종 사진에 색상 나와있어요.

결제방법- 계좌이체 혹은 번개페이

거래방법
직거래- 양재동
택배거래- CJ택배 2800 (원하시는 경우 편의점 GS 반값 택배)

*주문 및 질문은 채팅으로 해주세요.
*확인하는대로 바로바로 답변 드려요.⚡
*판매자상점에 확인하시면 다양한 상품 있습니다.",https://media.bunjang.co.kr/product/163738934_{cnt}_1635330631_w{res}.jpg,12,163738934,https://m.bunjang.co.kr/products/163738934
12,애플워치 1세대(42mm),"애플워치,1세대,정품",,"애플워치 1세대 판매합니다
구성은 전부있구요 앞부분은 살짝 기스는있으나
뒷부분이 좀 사용감 있습니다
크게 뭐 오염이나 벗겨지고 깨진곳은 없습니다
중고상 교환 환불 어려우니 신중히 선택 부탁드립니다
정품 스트랩도 같이 있습니다

택배시 택포해드립니다",https://media.bunjang.co.kr/product/166732412_{cnt}_1636608082_w{res}.jpg,3,166732412,https://m.bunjang.co.kr/products/166732412
13,[미개봉]애플워치7 41mm 스테인리스,"애플워치7,애플워치스테인리스,애플워치미개봉,애플워치7미개봉,애플워치741",경기도 부천시 중3동,"완전 새제품입니다
직거래는 중동역 1호선
스트랩은 고무줄이아닌 메탈줄이구
41mm",https://media.bunjang.co.kr/product/170709155_{cnt}_1637581489_w{res}.jpg,1,170709155,https://m.bunjang.co.kr/products/170709155
14,애플워치5 44mm 스테인리스 스틸 실버 셀룰러,"애플워치5,44,애플워치,아이폰,셀룰러",서울특별시 강동구 길동,2020년8월에 압구정 가로수길 애플스토어에서 108만9천원 주고 구매한 애플워치5 44미리 스테인리스 스틸 셀룰러 모델입니다. 테그호이어 아쿠아레이서도 가지고 있어서 별로 착용 안했습니다. 시계구매할때 사진상으로 보이는 링크브레이슬릿 줄 직구로 15만원 주고 구매하였고 계속 저 줄만 사용했습니다. 워치 살때 주는 정품줄은 미개봉한 새상품입니다. 줄은 이렇게 두개 드립니다. 원래 가끔씩 사용하려다가 곧 군입대 하게되어 아에 사용 못해서 판매하게 되었습니다. 충전기도 포장도 거의 안뜯은 새것입니다. 완전 풀박이고 제가 처음 산 상태 그대로 보내드리겠습니다. 서울 부산 직거래 가능하고 택배거래도 다 가능합니다 배터리 상태 99퍼입니다. ***-****-****로 연락 주십시요  팔4공7 6칠8칠로 연락주세요,https://media.bunjang.co.kr/product/165516536_{cnt}_1636906376_w{res}.jpg,5,165516536,https://m.bunjang.co.kr/products/165516536
15,애플워치 스트랩,"스트랩,애플워치,밀레니즈루프,가죽",경기도 과천시 갈현동,"애플워치 밀레니즈 루프,가죽 새상품

애플워치 1 / 2 / 3 / 4 / 5 / 6 / 7 / SE 호환이 가능한 상품입니다.

색상 : 실버, 블랙
사이즈 : 40mm, 44mm
애플워치 1/2/3-38mm=4/5/6/SE 40mm → 40mm 선택
애플워치 1/2/3-40mm=4/5/6/SE 44mm → 44mm 선택
애플워치 7-42mm=4/5/6/SE 40mm -> 40mm 선택
애플워치 7-46mm=4/5/6/SE 44mm -> 4mm 선택

직거래 – 과천시 어디든 가능합니다.
택배거래 – 수도권 : gs편의점택배(2900원 추가)
– 비수도권 : gs편의점택배(3400원 추가)

주문, 질문은 번개톡으로 부탁드립니다. 최대한 빨리 답변드리겠습니다(8:00~23:00)
",https://media.bunjang.co.kr/product/170376082_{cnt}_1637369857_w{res}.jpg,11,170376082,https://m.bunjang.co.kr/products/170376082
16,[무료배송.정품] 애플워치 se 40mm 스페이스그레이(스그) 미개봉,"애플워치,애플워치se,애플워치40mm",경기도 고양시 일산동구 정발산동,"애플워치 se 40mm 스페이스 그레이 미개봉 새상품

21년 9월 생산 애플코리아 정품

가품일시 200% 환불 / 에눌 문의 X

일산 라페스타 직거래 및 택배거래 가능하며

택포 31.5 입니다",https://media.bunjang.co.kr/product/163468216_{cnt}_1637217583_w{res}.jpg,2,163468216,https://m.bunjang.co.kr/products/163468216
17,[무료배송.정품] 갤럭시 워치4 40mm 실버 미개봉 ,"갤럭시워치4,갤럭시워치40mm,워치440mm",경기도 고양시 일산동구 정발산동,"갤럭시 워치4 40mm 실버 미개봉 새상품

블루투스 자가유통용 입니다.

21년 9월~10월 제조 / 에눌문의 X

가품일시 200% 보상해드립니다

일산 라페스타 직거래 및 택배거래

택배비 포함 22.5 입니다",https://media.bunjang.co.kr/product/168985136_{cnt}_1637201414_w{res}.jpg,2,168985136,https://m.bunjang.co.kr/products/168985136
18,[무료배송.정품] 갤럭시 워치4 40mm 블랙 미개봉,"갤럭시워치,갤럭시워치4,갤럭시워치440mm",경기도 고양시 일산동구 정발산동,"갤럭시 워치4 40mm 블랙 미개봉 새상품

블루투스 자가유통용 sm-r860n 입니다

21년 9~10월 제조 / 에눌문의 X

가품일시 200% 보상해드립니다

일산 라페스타 직거래 및 택배거래

택배비 포함 22.5 입니다",https://media.bunjang.co.kr/product/166004543_{cnt}_1636523910_w{res}.jpg,1,166004543,https://m.bunjang.co.kr/products/166004543
19,애플워치 se GPS 40mm 실버 나이키  팝니다,애플워치se,,"21.6.19일 구매하고 보호필름 착용해서 사용감 거의 없습니다. 스테인리스 스틸 정품 스트랩, 스포츠루프 스트랩, 충전 어탭터 포함입니다",https://media.bunjang.co.kr/product/170709000_{cnt}_1637581398_w{res}.jpg,1,170709000,https://m.bunjang.co.kr/products/170709000
20,애플워치 케이스 다양한 종류와 액정보호필름 새상품 우주최저가!!,"애플워치7케이스,애플워치케이스,애플워치액정필름,애플워치필름,애플워치액정보호필",서울특별시 서초구 양재2동,"다양한 애플워치케이스 새상품

스트랩 전문 쇼핑몰과 동일한 퀄리티(중간 유통과정 없애고 최저가로 판매) 👍
범퍼케이스는 앞면이 비어 있고 풀커버케이스는 액정까지 덮는 케이스입니다.💡

액정보호필름 38, 40, 42, 44 사이즈(1000원)
애플워치7 액정보호 필름 41, 45 사이즈(1500원)
투명 범퍼젤리케이스 38, 40(41가능), 42, 44(45가능) 사이즈(1500원)
캔디 범퍼젤리케이스 38, 40(41가능), 44(45가능) 사이즈 (2000원)
색상- 화이트, 블랙, 레몬, 핑크, 그레이, 애쉬그레이(약간 더 흐린 그레이), 미드나잇블루, 타로밀크티
투명 풀커버젤리케이스 38, 40(41가능), 44(45가능) 사이즈(2000원)
강화유리하드케이스 색상 투명, 실버, 블랙, 화이트 38, 40, 44 사이즈(2500원)
메탈베젤링케이스 색상 실버, 로즈골드 38, 40 사이즈(3000원)

결제방법- 계좌이체 혹은 번개페이

직거래- 양재동
택배거래- cj택배 2800(원하시는 경우 gs편의점 반값택배 가능)

*주문이나 질문은 채팅으로 해주세요.♥️
*확인하는대로 바로 답변드려요.⚡
*판매자상점에 확인하시면 다양한 상품 있습니다.",https://media.bunjang.co.kr/product/164065719_{cnt}_1635550712_w{res}.jpg,12,164065719,https://m.bunjang.co.kr/products/164065719
